ASURITE,Cohort,Status,Activities Count,NGSC Activities,civ mil count,service count,culture count
mjmunn,5,Active,4,"NGSC Culture - Spring Semester Kickoff,Service - World Pediatric Project Card Making,Service - Positivitea Project,""Civ-Mil  - We, The Marines Watch Party""",1,2,1
svcarlso,5,Active,0,,0,0,0
jwalhof,5,Active,4,"Service - Crisis Hotline Volunteering,Civ-Mil  - Section 7 event,Service - MRE Food distribution,NGSC Culture - Hope Women's Center volunteering",1,2,1
ctcao,5,Active,4,"Service - FAFSA Drive-In,Service - Rosie's House College Pathways Presentation,NGSC Culture - NGSC Beliefs Statement Video and Survey,Civ-Mil  - U.S. Air Force National Museum Virtual Tour",1,2,1
dabarrie,5,Active,4,"NGSC Culture - NGSC Civil Citizens Forum ,Service - Virtual E-Card making,Civ-Mil  - Medal of Honor viewing party,Service - Ronald McDonald House",1,2,1
erjohn15,5,Active,5,"""Service - """"Consent:"""" A Viewing"",Civ-Mil  - Transnational Feminist Movements: Reflections on International Women's Day 2021,NGSC Culture - Healthy Living Checklist,Civ-Mil  - Section 7 Event,Service - Nutrition Project",2,2,1
nmbeery,5,Active,4,"Service - Plant-Based Service,Service - Every Drop Counts,Civ-Mil  - Self-guided virtual reality tour of U.S. Army Airborne and Special Operations Museum: Exhibit,""NGSC Culture - Alumni Chit Chat, nonprofit """,1,2,1
rdhillo2,5,Active,4,"Civ-Mil  - U.S. Air Force National Museum Virtual Tour,Service - Freerice.com,Service - Volunteered to serve and make food at my Temple,NGSC Culture - PSA Civil Servants Committee",1,2,1
nawadall,5,Active,1,NGSC Culture - Spring kickoff,0,0,1
pnwelch,5,Active,4,"NGSC Culture - Evening baking with summer ,Service - Cinderella Affair Service Event,Service - Sigma Sweets,Civ-Mil  - Medal of Honor Zoom Call",1,2,1
bbawden,5,Active,4,"Civ-Mil  - When Does Resistance Become Insurrection? Free Speech and the Defense of the Republic,Service - Random Acts of Kindness Day of Service,NGSC Culture - PSA Civil Servants Committee,Service - Devil's in Disguise",1,2,1
davezov,5,Active,0,,0,0,0
pccampbe,5,Active,0,,0,0,0
imcolon,5,Active,4,"Service - Tempe Beach Park Clean Up,Service - Feed My Starving Children,Civ-Mil  - Annual section 7 event,NGSC Culture - Human Trafficking and LGBT Victims",1,2,1
nmlewis8,5,Active,3,"Civ-Mil  - U.S. Air Force National Museum Virtual Tour,Service - MissingMaps.org,Service - smithsonian institute transcriptions/editing",1,2,0
jjose9,5,Active,4,"Service - HandsOn Greater Phoenix COVID Volunteering,Service - Volunteering for Easter Mass,Civ-Mil  - Civil-MIl Discussion about PTSD,NGSC Culture - Annual Section 7 Event- Paper Airplane competition",1,2,1
btsoza,5,Active,4,"Service - Virtual  E-Card Making for World Pediatric Project,Service - Art fundraiser for Apache Stronghold,NGSC Culture - NGSC Civil Citizen's Forum,Civ-Mil  - NMUSAF Virtual Tour",1,2,1
kplano,5,Active,0,,0,0,0
smorse4,5,Active,5,"Service - Drive in Movie ,Service - Free Rice,NGSC Culture - NGSC Alumni Chit Chat,Service - Free Rice Social ,Civ-Mil  - 2021 Rhodes Lecture ",1,3,1
mmcnall6,5,Active,4,"NGSC Culture - First NGSC Civil Citizens Forum ,Civ-Mil  - Transnational Feminist Movements: Reflections on International Women's Day 2021,Service - Food for the Homeless Event,Service - Food Drive for Underprivileged Students",1,2,1
slabney,5,Active,5,"Service - Tempe History Society Newsletter,Service - Tempe History Society January Newsletter,""NGSC Culture - """"Voices for Justice"""" Sarah Turney Presentation"",NGSC Culture - The Healthy Living Checklist,Civ-Mil  - Fallen Soldiers of Tempe",1,2,2
gelizon2,5,Active,4,"Service - professional development assistant  ,Service - food drive poster design meeting,NGSC Culture - MT summit ,Civ-Mil  - Conference on JCPOA",1,2,1
bmecinas,5,Active,4,"Civ-Mil  - Story of the Veteran: About Face (Civil-Mil Discussion),Service - Clowes for Council Petition Textbank,Service - Videomaking with Clowes For Council,NGSC Culture - Brave Blue World Discussion",1,2,1
kbaile23,5,Active,3,"Civ-Mil  - National Museum of U.S. Air Force Virtual Tour,Service - Feed my Starving Children,Service - Feed my Starving Children",1,2,0
nsahba,5,Active,4,"Civ-Mil  - What Now? The Future of the JCPOA and the Iranian Nuclear Program with Joe Brazda,Service - State Farm Stadium: Vaccine site,NGSC Culture - Spring Semester Kickoff,Service - State Farm Stadium general volunteer",1,2,1
ahrowe1,5,Active,4,"Civ-Mil  - Can Women’s Movements Save The World?,Service - Virtual Womens March ,Service - Alpha Phi Philanthropy ,NGSC Culture - NGSC Beliefs Statement Student Survey",1,2,1
jechaco1,5,Active,5,"""Civ-Mil  - Civil Mil, MT 19, MT 21 Veterans Documetary"",Service - Section 6 Rare Disease/Mental Health Panel,Service - Section 7 Tri-Credit Event,NGSC Culture - Section 6 Rare Disease Panel (Culture),NGSC Culture - NGSC Beliefs Statement",1,2,2
clangulo,5,Active,4,"NGSC Culture - 2021 Spring Kickoff Event ,Service - Virtual Ecard making for World Pediatric Project ,Service - THE POSITIVITEA PROJECT,Civ-Mil  - Hunger and Nutrition + Homlessness Doc Viewing ",1,2,1
alakis,5,Active,4,"Service - Ally Lakis,NGSC Culture - NGSC Graduation Ceremony ,Service - Ally Lakis,Civ-Mil  - US Air Force museum virtual tour ",1,2,1
nkariuk1,5,Active,4,"NGSC Culture - NGSC Spring Kickoff,""Civ-Mil  - We, The Marines Discussion"",Service - Food Distribution at Mercy Ministries,Service - Tempe Beach Park Cleanup",1,2,1
gsethi4,5,Active,4,"Service - Donation Verification,Service - Payroll Documentation,Civ-Mil  - Self-Guided VR Tour of U.S. Army Airborne,NGSC Culture - Alumni Virtual Chit Chat - Public",1,2,1
shammour,5,Active,4,"Service - Helping Out at Sunday School ,Service - Sunday School Volunteering ,NGSC Culture - NGSC alumni chit chat: public sector edition  ,Civ-Mil  - Medal of Honor",1,2,1
blvarga1,5,Active,4,"NGSC Culture - Spring semester kickoff,Service - The Enduring Power of White Guilt,Service - Feeding my starving children,""Civ-Mil  -  """"Alumni Virtual Chit Chat"""".""",1,2,1
adsaissl,5,Active,4,"NGSC Culture - NGSC Downtown Campus Game Night ,Service - Planned Parenthood Game Night ,Civ-Mil  - Section 7 Event,Service - COVID Center",1,2,1
mnguye54,5,Active,4,"NGSC Culture - Civil Mil Committee,Service - Rare Disease Awareness Panel,Service - Section 5 Service Event,Civ-Mil  - Section 5 Event Movie: The Sand Castle",1,2,1
aaragon9,5,Active,5,"Service - The Positvitea Project,Civ-Mil  - Veteran Documentary MT 19 and 21,Service - Remote Body of Water Clean-Up,""NGSC Culture - Criminal Justice and Security MT Presents """"Voices for Justice"""""",Service - Send Message of Hope and Healing",1,3,1
ssajjad2,5,Active,4,"NGSC Culture - Civil Citizens Forum,Civ-Mil  - Story of the Veteran: About Face-National Center for PTSD,Service - Textbank for Casey Clowes,Service - Phonebank for Yassamin Ansari for Phx City Council",1,2,1
smbavish,5,Active,5,"NGSC Culture - Human Trafficking & LGBTQ+ Victims MT2 & MT8,Service - Helped volunteer for Popular Music Open Mic ,""Civ-Mil  - Donaboss, A film Discussion"",Service - Feed my starving children ,""Civ-Mil  - Donaboss, A film Discussion""",2,2,1
jrluce,5,Active,8,"NGSC Culture - 2021 NGSC Spring Semester Kickoff,Service - MT 22 Letter writing for the community,""Civ-Mil  - Lieutenant General H.R. McMaster: A discussion with ASU's New Leadership, Diplomacy, and National Security Lab"",Civ-Mil  - 3/17 Section 7 Event - Civil-Mil,Service - Section 7 day of service,NGSC Culture - Section 7 Culture Event,Service - Migrant Farm Workers Mobile Vaccine Clinic,Service - NGSC COVID Response Team",2,4,2
sbintwil,5,Active,4,"Service - Virtual E-card Making For World Pediatric Project,Service - The Positivitea Project,NGSC Culture - NGSC Healthy Living Checklist ,Civ-Mil  - Renewal and Remaking of Democracy",1,2,1
bberg4,5,Active,4,"NGSC Culture - Watch party,Service - Feed my starving children,Service - Feed my starving children,Civ-Mil  - Profiles in service: it takes a nation",1,2,1
mangulor,5,Active,4,"NGSC Culture - Disney/Marvel/Star Wars Kahoot with Mya,Service - Tabling event for HR1 by Public Citizen and Declaration For American Democracy,Civ-Mil  - Discussion on 26 Pictures of Dogs Being Heroes in WWII,Service - Letters to Strangers",1,2,1
meforsy1,5,Active,4,"NGSC Culture - Spring Kick off,Service - Rio Vista ,Civ-Mil  - History Discussion ,Service - More Love Letters",1,2,1
kmmadri1,5,Active,1,Service - Positivitea part 2,0,1,0
amreyna6,5,Active,4,"NGSC Culture - Communications Committee,Civ-Mil  - Veteran Stories ,Service - Zooniverse The Artic Bears Project ,Service - Zooniverse Beluga Bits",1,2,1
kavelez,5,Active,0,,0,0,0
cjdamman,5,Active,4,"NGSC Culture - NGSC CIVIL CITIZENS FORUM,Civ-Mil  - Robert E. Lee and Me: A Southerner's Reckoning with the Myth of the Lost Cause,Service - Impact 100 Event,Service - Rare Disease Panel",1,2,1
dwill110,5,Active,4,"Service - Girl Scouts of Greater Atlanta Mentorship meeting ,NGSC Culture - NGSC Belief Statement Survey,Civ-Mil  - Take a tour of a us national Air Force Museaum,Service - Girl Scouts of Greater Atlanta",1,2,1
jsiefer1,5,Active,4,"Service - FreeRice,Civ-Mil  - Civil Mil Documentary,NGSC Culture - Earth Day Challenge,Service - Hands on Greater Phoenix Non-Clinical Volunteer",1,2,1
esfuente,5,Active,4,"NGSC Culture - Spring Kick off ,Service - Salvation Army CLothing Donation Drive,Service - Arizona Helping Hands ,Civ-Mil  - Civil-mil discussion ",1,2,1
jgamboa7,5,Active,5,"Civ-Mil  - History.com Veterans discussion,Service - Writing Letters to Representatives,Service - Prison Education Project,NGSC Culture - NGSC Alumni Chit Chat,NGSC Culture - NGSC Belief Statement",1,2,2
ssobrien,5,Active,4,"Civ-Mil  - Annual Section 7 Event ,Service - Annual Section 7 Event,NGSC Culture -  Annual Section 7 Event,Service - Letter Writing with BHC",1,2,1
jvaupel,5,Active,4,"NGSC Culture - Spring Semester Kickoff,Service - *Not a service event but there was not an option*... Leadership Requirement: Section 3 Mission Team Leader,Service - Section 9 Event 1,Civ-Mil  - Self-guided virtual reality tour of U.S. Army Airborne and Special Operations Museum",1,2,1
sgreenhi,5,Active,4,"Civ-Mil  - Can Women's Movements Save the World?,NGSC Culture - NGSC Beliefs Statement Survey,Service - UA Vaccine POD Observation Assistant,Service - Pima Animal Care Center Foster Training",1,2,1
sgbravo,5,Active,4,"Service - Hands on Greater Phoenix - PHX Municipal Vaccine Site,NGSC Culture - PSA Civil Servants Committee,Service - Valentine's Cards for St. Jude's Children's Hospital,Civ-Mil  - 1917 Movie Discussion",1,2,1
tacox7,5,Active,4,"Civ-Mil  - Civil Mil discussion,NGSC Culture - Ambassador Essay evaluation,Service - Section 5 event,Service - Lifting hands international",1,2,1
ljhunt1,5,Active,4,"Service - The Positivitea Project,Civ-Mil  - Section 7 event ,Service - Section 7 event,NGSC Culture - Section 7 Event",1,2,1
bjlittl1,5,Active,3,"Service - virtual e card,Civ-Mil  - Hunger and nutrition ,NGSC Culture - Holi at ASU",1,1,1
rafish1,5,Active,4,"NGSC Culture - Voices For Justice with Sarah Turney,Service - Educational Equality: The Fight For All Immigrants,Civ-Mil  - Civil-Mil Discussion with a Veteran about Reassimilation,Service - Transcribing Projects for the Smithsonian ",1,2,1
egthomp3,5,Active,3,"Service - A Million Thanks: Writing Letters to Our Beloved Veterans,Civ-Mil  - A Million Thanks: Writing Letters to Our Beloved Veterans,Service - Easter Kids Celebration at Grace Community Church",1,2,0
amoosman,5,Active,5,"NGSC Culture - Spring Semester Kickoff,Service - Volunteer for Virtual Audition Day ,Service - The Positivitea Project,Service - Virtual Audition Day,Civ-Mil  - Watch a Great Decisions episode of your choice from the Foreign Policy Association",1,3,1
lhoop,5,Active,4,"Civ-Mil  -  Robert E. Lee and Me: A Southerner's Reckoning with the Myth of the Lost Cause,Service - Stepping Stone Mentor Program Event #3,NGSC Culture - Will Arizona Run out of Water? Panel w/ NGSC Mission Team 26,Service - Volunteer at Feed My Starving Children",1,2,1
emogel,5,Active,2,"Service - Show Pride for your Mission - MT 3 ,""Civ-Mil  - We, The Marines Viewing Party""",1,1,0
kglaser2,5,Active,4,"Civ-Mil  - Unchained: The Scourge of Human Trafficking,NGSC Culture - Earth Day Talk,Service - Vaccine Appointment Network ,Service - Vaccine Appointment Network ",1,2,1
eastrous,5,Active,4,"Service - Project Humanities Service Saturday ,Service - Project Humanities Service Saturday ,Civ-Mil  - Can Women's Movements Save the World?,NGSC Culture - NGSC Values Video Contribution ",1,2,1
aserra28,5,Active,5,"""NGSC Culture - """"consent"""" viewing "",Civ-Mil  - civil-mil discussion,Service - st. mary's food bank,Service - feed my starving children,NGSC Culture - ngsc alumni chit chat: the nonprofit sector edition",1,2,2
vdraghav,5,Active,7,"NGSC Culture - Civil Citizens Forum,Civ-Mil  - Watch a Great Decisions episode of your choice from the Foreign Policy Association,Civ-Mil  - Self-guided virtual reality tour of U.S. Army Airborne and Special Operations Museum: Exhibit,Service - Operations Warm,NGSC Culture - Watch a Great Decisions episode of your choice from the Foreign Policy Association,Service - Rare Disease Panel -- Service Component,NGSC Culture - Rare Disease Panel -- Service Component",2,2,3
cpernat,5,Active,4,"Service - Feed My Starving Children,Civ-Mil  - National Museum of U.S. Air Force Virtual Tour,Service - Section 7- Fight against hunger zoom event,NGSC Culture - Paper Airplane Folding",1,2,1
amsolom2,5,Active,4,"Service - Puppy Tinder,Service - Letter Writing Event For The Community,Civ-Mil  - Preventing Atrocity Crimes in a Violent World,NGSC Culture - Voices for Justice",1,2,1
ngoren1,5,Active,5,"""Civ-Mil  - We, The Marines Discussion"",NGSC Culture - NGSC Belieefs Statement Student Survey ,Service - Zooniverse Animal Classification of Belugas,Service - Smithsonian Digital Volunters: Transcription Center,Service - Smithsonian Transcription ",1,3,1
tahagger,5,Active,4,"NGSC Culture - NGSC Spring Kickoff ,Civ-Mil  - Renewal and Democracy Panel ,Service - All Hands on Deck ,Service - A Million Thanks ",1,2,1
pmorlock,5,Active,0,,0,0,0
akstout,5,Active,4,"NGSC Culture - spring semester kickoff,""Civ-Mil  - We, the Marines discussion"",Service - Volunteer at food bank ,Service - volunteer at food bank",1,2,1
dkartchn,5,Active,4,"Service - EPICS High Virtual Showcase,Service - Changemaker Community Action Grant Judging,Civ-Mil  - Civil Mil Discussion with a Veteran about Assimilation- Story of the veteran: About Face- National Center for PTSD,NGSC Culture - Beliefs Statement Survey",1,2,1
csalas7,5,Active,4,"Service - Body of Water Clean-Up,NGSC Culture - Rare Disease Panel,Service - Mission Team Pride Pride Poster,""Civ-Mil  - We, The Marines Viewing Party""",1,2,1
kacox9,5,Active,4,"NGSC Culture - Spring semester kickoff,Service - Mayo Clinic Vaccination,Civ-Mil  - Section 5 event,Service - Mayo Clinic Vaccination",1,2,1
svictor4,5,Active,4,"NGSC Culture - Spring Semester Kickoff,Service - COFAS 2021,Civ-Mil  - History - Veteran's Stories,Service - AZTC Kids Easter Program",1,2,1
hleemcve,5,Active,1,Service - Messages of Hope and Healing,0,1,0
snburnha,5,Active,4,"Service - Sun Devil Giving Day Thank You Notes,Civ-Mil  - we the marines,Service - Tom Bobs Fun Run,NGSC Culture - healthcare acsess mission team event",1,2,1
aparra21,5,Active,4,"NGSC Culture - 2021 NGSC Spring Semester Kickoff,Service - All Hands On Deck,Service - Section 9 Event,""Civ-Mil  - We, The Marines Viewing Party""",1,2,1
amechol1,5,Active,4,"Service - The Positivitea Project,Service - St. Mary's Food Bank,NGSC Culture - Earth Day Event,Civ-Mil  - Self-guided virtual reality tour of U.S. Army Airborne and Special Operations Museum",1,2,1
aregorgo,5,Active,4,"NGSC Culture - Plant Based Service,Civ-Mil  - US Air Force Virtual Tour,Service - Campus Cleanup,Service - Car Wash",1,2,1
sgupt206,5,Active,4,"NGSC Culture - NGSC Fall 2021 Welcome,Service - Section 9 Event #1 Sustainability,Service - Volunteering at COVID-19 Vaccine Clinic,Civ-Mil  - Civil-Mil Committee's Medal of Honors Viewing",1,2,1
tbwaters,5,Active,0,,0,0,0
vperez35,5,Active,3,"Service - Welcome Center Volunteer,Service - Welcome Center Volunteer,NGSC Culture - Mission Team Summit Survey",0,2,1
jkcox4,5,Active,4,"Service - mission team 22 service event,NGSC Culture - mission team 22 event,Service - naloxone kit assembly,Civ-Mil  - civil mil discussion with a veteran about reassimilation",1,2,1
tmittels,5,Active,4,"Service - Berkeley Invitational ,Service - Berkeley Invitational,Civ-Mil  - Rising Tide: Climate Change and the World's Oceans - Narrated by David Strathairn - Full Episode,NGSC Culture - Ambassador Interview",1,2,1
kpalko,5,Active,4,"Service - Kelp on the Edge ,Civ-Mil  - 1917 Movie Discussion ,Service - Covid Response Team ,NGSC Culture - Mission Team Summit ",1,2,1
nritman,5,Active,5,"NGSC Culture - Ambassador Committee,Civ-Mil  - Medal of Honor Watch Party,Service - BMES All Hands on Deck,Service - Spring into Action,Service - NGSC Feed My Starving Children Day",1,3,1
lhtatum,6,Active,4,"Service - Volunteer work with residents at the retirement home ,NGSC Culture - Conference ,Service - I participated in an art installation for asu students. ,Civ-Mil  - Blue star moms ",1,2,1
emmanriq,6,Active,0,,0,0,0
ajlemke2,6,Active,4,"Service - Volunteering at South Milwaukee Human Concerns,Service - Women's Hygiene Packs for BLAST,NGSC Culture - Clove Campbell (Arizona Informant) Interview,Civ-Mil  - Distinguished Global Leader Presentation",1,2,1
skakde,6,Active,4,"Service - Valentine's for Hospital Workers/Patients,Service - Letters to Community Clinics,NGSC Culture - Coffee Talk with Delaney,Civ-Mil  - Salute to service letters to soldiers",1,2,1
kpsoong,6,Active,4,"NGSC Culture - FIRST NGSC CIVIL CITIZENS FORUM OF 2021,Service - Letters of Isolation,Civ-Mil  - Center on the Future of War - When Does Resistance Become Insurrection? Free Speech and the Defense of the Republic,Service - Letters Against Isolation",1,2,1
dfield3,6,Active,5,"NGSC Culture - Spring Kick-Off 2021,Service - The Positivitea Project,Service - World Pediatric Project,NGSC Culture - Coffee/Tea Talk,Civ-Mil  - Profiles in Service: It Takes a Nation",1,2,2
msmarlo1,6,Active,4,"Civ-Mil  - Section 7 Event ,Service - Section 7 Event ,NGSC Culture - Section 7 Event ,Service - Hands On Greater Phoenix ",1,2,1
jmneff,6,Active,5,"NGSC Culture - Alumni Virtual Chit Chat,Civ-Mil  - Democracy Promotion and America's Role in the World: A Conversation with Ambassador Michael McFaul,Service - Beautiful Soles,Service - Service Saturday: Precious Plastic,Service - Service Saturday: Precious Plastic",1,3,1
jrbarba,6,Active,4,"Service - Plant-Based Service ,Service - The Positivitea Project ,Civ-Mil  - Medal of Honor Viewing ,NGSC Culture - Coffee/Tea Talk",1,2,1
mwaymire,6,Active,4,"NGSC Culture - Spring semester kickoff,Civ-Mil  - MT 13 Event,Service - Litterati,Service - Mission Team 13 Event",1,2,1
acwestmo,6,Active,6,"NGSC Culture - Section 9 Event #1,Service - Section 9 Event #1,NGSC Culture - The Mental Health Speaker Series: Terry McDermott w/ NAMI Valley of the Sun,Service - The Mental Health Speaker Series: Terry McDermott w/ NAMI Valley of the Sun,Service - COVID-19 Vaccination volunteer,Civ-Mil  - Civil-Mil Discussion",1,3,2
gmustain,6,Active,4,"NGSC Culture - Spring Semester Kickoff,Service - Every Drop Counts- Body of Water Clean-Up Day,Civ-Mil  - Medal of Honor Viewing,Service - Covid Response Team Check-in",1,2,1
mtisdall,6,Active,4,"Service - Letters Against Depression,Service - Letters to Strangers,NGSC Culture - Spring Semester Kickoff,Civ-Mil  - Preventing Atrocity Crimes in a Violent World",1,2,1
snuzzaci,6,Active,4,"Civ-Mil  - Virtual tour of Air Force base ,Service - Greek week Banner painting ,NGSC Culture - NGSC Beliefs Statement Survey,Service - 7 cups listening website",1,2,1
aahegde2,6,Active,4,"Service - Plant Based Service,Service - Letter Writing Event For The Community,Civ-Mil  - Self-guided virtual reality tour of U.S. Army Airborne and Special Operations Museum: Exhibit,NGSC Culture - NGSC Belief Statement Student Survey",1,2,1
vdafonse,6,Active,4,"Civ-Mil  - Section 7 event,Service - Section 7 event,NGSC Culture - Section 7 event,Service - Hands on Greater Phoenix",1,2,1
dygayden,6,Active,4,"NGSC Culture - Documentary of Homeless Veterans,Civ-Mil  - Medal of Honor Episode ,Service - Annual Section 7 Event,Service - Litterati",1,2,1
ihuerta2,6,Active,4,"NGSC Culture - Spring Semester Kick Off,Service - Rare Disease Panel,Civ-Mil  - Section 5 Event,Service - Section 5 Event ",1,2,1
bmcho,6,Active,7,"NGSC Culture - Spring Semester Kickoff,NGSC Culture - Spring Kickoff,Service - Women's March Picture Post ,Civ-Mil  - U.S. Army Airborne And Special Operations Museum: Exhibit,Service - Children's Hospital Card Making,Service - Children’s Hospital Cards,Service - Project Gutenberg",1,4,2
sajone33,6,Active,4,"NGSC Culture - Rare disease awareness panel,Service - Women Festival,Service - Party Host,Civ-Mil  - Distinguished Global Leader Presentation by General Harrigan",1,2,1
njayant1,6,Active,5,"NGSC Culture - Spring Semester Kickoff,NGSC Culture - Spring Kick off,Service - Virtual E card making ,Service - The Positivitea,Civ-Mil  - Medal Of Honor - Civil Mil Committee Viewing ",1,2,2
mcbushma,6,Active,4,"Service - Panel Event,Service - Volunteer at Vaccination Site,NGSC Culture - Viewing Party: There's something In the Water,""Civ-Mil  - We, The Marines Viewing Party""",1,2,1
rrbenne2,6,Active,4,"NGSC Culture - Spring Welcome ,Civ-Mil  - Proflies in Service: It takes a Nation,Service - Beulah Baptist Church Annual Feed the Homeless,Service - Masks Made with Love",1,2,1
egrant7,6,Active,4,"Service - Meals on Wheels Delivery Driver,Service - Virtual e-card making for the world pediatric project,Civ-Mil  - Watch a Great Decisions episode of your choice from the Foreign Policy Association,NGSC Culture - Section 10 Teach For America Event",1,2,1
jamiram3,6,Active,4,"Civ-Mil  - NROTC San Diego Ship Tour ,NGSC Culture - NGSC Corn Hole Tournament ,Service - A Million Thanks ,Service - Litterati ",1,2,1
dpcampb3,6,Active,4,"Service - Alpha Kappa Psi Picnic,NGSC Culture - Viewing Party: There's Something in the Water,Civ-Mil  - U.S. Air Force National Museum Virtual Tour,Service - Roses for Ronald McDonald House",1,2,1
lmizuba,6,Active,4,"NGSC Culture - NGSC Spring Kickoff,Service - Positivitea,""Service - """"Consent"""": A Viewing"",""Civ-Mil  - We, The Marines Film Discussion""",1,2,1
agriffy1,6,Active,8,"NGSC Culture - Kahoot,Service - Environmental section meeting ,Service - COVID response team,Service - Litterati,NGSC Culture - Survey on the Belief statement ,Civ-Mil  - 1917 movie disscussion,Service - Eco column class,Civ-Mil  - Freedom riders ",2,4,2
ejmcgarr,6,Active,4,"NGSC Culture - Spring Kickoff,Civ-Mil  - From Shock and Awe Screening,Service - Missing Maps,Service - Queering Sex Ed",1,2,1
slhayne1,6,Active,4,"Civ-Mil  - U.S. Air Force National Museum Virtual Tour,Service - Book drive/school supply donations sorting and packaging.,Service - Reading to elementary students at the Red Mountain Mesa Public Library.,NGSC Culture - Annual Section 7 Event",1,2,1
rshamsid,6,Active,4,"Service - COVID Vaccine Pod Site,Service - Masjid Jauharatul-Islam,Civ-Mil  - Profiles in Service- It Takes A nation,NGSC Culture - NGSC Student Beliefs Survey",1,2,1
dnsengam,6,Active,4,"NGSC Culture - Delaney's Coffee/Tea Talk,""Civ-Mil  - We, The Marines"",Service - Volunteering for Packages from Home,Service - Volunteer ",1,2,1
nshiblak,6,Active,4,"Service - Letters to a stranger,Service - Notecards Against Depression ,Civ-Mil  - Annual Section 7 Event,NGSC Culture - Annual Section 7 Event",1,2,1
bribakar,6,Active,4,"NGSC Culture - Viewing Party: There's Something In The Water,Civ-Mil  - Section 7 Event,Service - SEED Percentage Night,Service - REAP Day of Service (with Tiger Mountain Foundation)",1,2,1
kecoats,6,Active,4,"NGSC Culture - Rare disease awareness panel ,Service - The mental health speaker series,Service - litterati,Civ-Mil  - treating mental health in the veteran community",1,2,1
shurmez,6,Active,5,"Service - Mission Team Project,NGSC Culture - Online survey ,Civ-Mil  - Episode Screening of show Medal of Honor,Service - Covid Vaccine ,Service - Letters to strangers ",1,3,1
kakallas,6,Active,4,"NGSC Culture - NGSC Civil Citizens Forum ,Civ-Mil  - Section 7 Event ,Service - Section 7 Event ,Service - The Treasure Box and 1st Friday ",1,2,1
tmsarasw,6,Active,4,"Service - Positivitea Project,Service - Volunteer at Phoenix Municipal COVID Vaccination Site,Civ-Mil  - Section 7 Event,NGSC Culture - Section 7 Event",1,2,1
nhoiby,6,Active,4,"NGSC Culture - Spring Semester Kickoff,Service - Honor Health Covid-19 Vaccine Event,Civ-Mil  - Civil-Mil Committee viewing of Medal of Honor,Service - Rare Disease Awareness Panel",1,2,1
jedeigna,6,Active,4,"Service - Women's Coalition Volunteering,Service - St. Mary's Foodbank,""Civ-Mil  - We, The Marines Discussion"",NGSC Culture - Section 9 Event #1",1,2,1
jutoft,6,Active,4,"NGSC Culture - Marvel Kahoot ,Service - Virtual E-card Making for World Pediatric Project,Civ-Mil  - Robert E. Lee and Me: A Southerner's Reckoning with the Myth of the Lost Cause,Service - The Positivitea Project",1,2,1
icjay,6,Active,4,"Service - The Litterati event,Service - Every Name Counts,Civ-Mil  - From Shock to Awe: screening and discussion,NGSC Culture - Coffee and Tea Talk",1,2,1
jalva108,6,Active,4,"NGSC Culture - Among Us Night ,Service - The Positvitea Project ,Service - American Autoimmune Related Diseases  ,Civ-Mil  - A Million Thanks ",1,2,1
cepopeli,6,Active,0,,0,0,0
coneill7,6,Active,4,"NGSC Culture - spring semester kick off,Service - Service through fraternity ,Service - Paving for the salvation army ,Civ-Mil  - U.S. Air Force National Museum Virtual Tour",1,2,1
aenriq37,6,Active,0,,0,0,0
mvallej9,6,Active,0,,0,0,0
amitband,6,Active,4,"NGSC Culture - Spring Kickoff Game Night ,Service - Banner Health Helping Hands Program ,Service - Rare Disease Panel Event,Civ-Mil  - Distinguished Global Leader Talk with General Jeffrey L. Harrigian",1,2,1
habeck1,6,Active,4,"Service - Letters Against Isolation,Civ-Mil  - US Airforce National Museum Virtual Tour,NGSC Culture - Spring Semester Kickoff,Service - Letters Against Isolation",1,2,1
hbranger,6,Active,4,"Service - Virtual E-Card making for world pediatric project,Service - Positivitea project,Civ-Mil  - MT-12 Hunger and nutrition and mt-homelessness civil mil,NGSC Culture - PSA  ",1,2,1
hgbeck,6,Active,4,"Service - Letters Against Isolation,Civ-Mil  - U.S. Air Force National Museum Virtual Tour,NGSC Culture - Spring Semester Kick-Off,Service - Letters Against Isolation",1,2,1
ngarnand,6,Active,4,"Civ-Mil  - From Shock To Awe,NGSC Culture - Brave Blue World,Service - Street Mapping - Vulnerable Populations,Service - Amnesty International - Decode Surveillance NYC",1,2,1
ieamador,6,Active,4,"NGSC Culture - NGSC Beliefs Statement Student Survey ,""Civ-Mil  - We, The Marines Viewing Party"",Service - Divine Movement Club Track and Field ,Service - Litterari Service Event ",1,2,1
byslavam,6,Active,4,"NGSC Culture - Tea Talks,Civ-Mil  - A Million Thanks,Service - A Million Thanks ,Service - St. Mary's Food Banl",1,2,1
anhale3,6,Active,4,"NGSC Culture - Interview with Clove Campbell,Service - Litterati,Civ-Mil  - Civil-Mil Discussion: Story of the Vertan,Service - Tempe Beach Park Clean Up",1,2,1
dperezva,6,Active,4,"Service - Amnesty International- Various Projects,NGSC Culture - NGSC Beliefs Statement Student Survey,Service - Self-guided virtual reality tour of U.S. Army Airborne and Special Operations Museum: Exhibit,Service - 7 Cups Training and Setup",0,3,1
jnreiner,6,Active,5,"Service - Fiesta Skate Music Volunteer,Service - Music Official Volunteer,NGSC Culture - Section 7- Paper Airplane Competition,Service - Section 7- Nutrition Project,Civ-Mil  - Video watch and discussion",1,3,1
