Cohort,Retreat,OL Fall,OL Spring,Activities Count,NGSC Activities,civ mil count,service count,culture count
5,Yes,Yes,no,5,"Civ-Mil  - Civil-Mil Reflection of the Militaries Role with COVID-19,Service - Tutoring Children,NGSC Culture - Healthcare Professional Panel Video,Civ-Mil  - Meeting the Moment: the Next Generation of Service,Service - Smithsonian-Transcription",1,2,1
2,YES,Yes,no,4,"Civ-Mil  - Leadership as a First Responder and a Medical Professional,NGSC Culture - Meeting the Moment: The Next Generation of Service,Service - Volunteer at City of Surprise,Service - Volunteer at City of Surprise",1,2,1
2,YES,No,no,0,,1,2,1
4,Yes,Yes,yes,0,,0,0,0
T3,Yes,Yes,Yes,2,"Service - On Leadership Seminar Volunteer ,Service - Feed My Starving Children ",1,2,1
3,Yes,Yes,YES,4,"Civ-Mil  - Profiles in Service - It Takes A Nation,Service - MLK Day of Service,NGSC Culture - Black Student Union Take Care Event ,Service - Sorority Dance Class",1,2,1
2,YES,Yes,yes,10,"Civ-Mil  - Meeting the Moment Leadership During a Crisis: Session 2,NGSC Culture - Meeting the Moment: Leadership During a Crisis: Session 3,Service - AZ Care Habitat Volunteer at Petsmart,Service - AZ Care Habitat Volunteer at Petsmart,Service - AZ Care Habitat Volunteer at Petsmart,Service - AZ Care Habitat Volunteer at Petsmart,Service - AZ Care Habitat Volunteer at Petsmart,Service - AZ Care Habitat Volunteer,Service - AZ Care Habitat Volunteer at Petsmart,Service - AZ Care Habitat Volunteer at Petsmart",1,2,1
5,Yes,Yes,Yes,3,"Civ-Mil  - Self-guided virtual reality tour of U.S. Army Airborne and Special Operations Museum: Exhibit,Service - Primavera Men's Shelter Standard Dinner Service,NGSC Culture - MT Animal Rights Discussion on Tiger King",2,2,1
5,No,No,no,0,,1,2,1
5,Yes,Yes,yes,4,"Service - Sounds of NYC via Zooniverse,Civ-Mil  - Netflix watch party- Living Undocumented,Service - Chihuahita Community Center Volunteer,NGSC Culture - Netflix Watch Party- Our Planet",1,2,1
3,Yes,Yes,yes,4,"Service - Freerice,Civ-Mil  - Rising Tide: Climate Change and the World's Oceans - Narrated by David Strathairn - Full Episode,Service - Borderlands Produce Rescue (Produce on Wheels Without Waste),NGSC Culture - NGSCxSDAR - Open Door Tempe",0,0,1
5,Yes,Yes,yes,4,"Service - Feed My Starving Children,Civ-Mil  - Self-guided virtual reality tour of U.S. Army Airborne and Special Operations Museum: Exhibit,NGSC Culture - NGSC Committee: OLS Planning Committee,Service - Virtual Community Service - Greeting Cards",1,2,1
4,Yes,yes,yes,4,"Service - Making face masks for nurses,NGSC Culture - NGSC Sustainability DIY Workshop (Unsponges & Scrubbers),Service - Making masks for Banner patients and faculty,Civ-Mil  - Meeting the Moment: The Next Generation of Service",1,2,1
2,Yes,No,yes,2,"Service - Paradise valley emergency food bank,Service - St. Mary’s food bank",0,0,0
3,Yes,Yes,no,4,"Civ-Mil  - Profiles in Service - It Takes A Nation,NGSC Culture - Meeting the Moment: The Next Generation of Service,Service - Give Career Advice to High School Students Online,Service - Free Rice",0,0,0
4,Yes,Yes,yes,5,"NGSC Culture - Women's March,NGSC Culture - Day in the Life and Interviews and Essay Review for Ambassadors Committee,Service - Food for the Hungry,Service - Barrett Leadership and Service Team Positivity Artwork,Civ-Mil  - Watched the profiles in service documentary and discussed it with another cohort 4 member. ",1,2,1
5,Yes,Yes,yes,5,"Civ-Mil  - James Mattis Lecture,Service - Celebrating Youth Event (Boys and Girls Club),NGSC Culture - Day in the Life ,Service - Feed My Starving Children,NGSC Culture - Healthcare Professionals Panel Dissucussion ",1,2,0
4,Yes,No,yes,4,"NGSC Culture - Women’s March at Downtown Phoenix ,Civ-Mil  - Profiles in Service - It Takes a Nation  ,Service - Letters to Strangers ,Service - Letters to Strangers ",1,2,1
3,Yes,Yes,Excused,4,"Service - ASU Open Door,NGSC Culture - Health Professionals Panel,Civ-Mil  - Profiles In Service: It Takes A Nation,Service - GeoClub Mineral Sales",1,2,1
4,Yes,Yes,yes,4,"Service - Feed My Starving Children,Service - Feed My Starving Children,NGSC Culture - Service Committee - Planned an Activity,Civ-Mil  - Code of Support Documentary",0,0,0
5,Yes,No,yes,4,"NGSC Culture - Ambassadors Essay Grading,Service - Volunteered at the Mosque ,Civ-Mil  - Meeting the Moment: The Next Generation of Service,Service - Sunday School Volunteering ",1,3,1
4,No,Yes,yes,4,"Service - Hot Chocolate Run,NGSC Culture - Ambassador's Committee,Service - Project CURE,Civ-Mil  - General Mattis Barrett Q & A",1,2,1
4,Yes,yes,yes,4,"NGSC Culture - Healthcare Professionals Panel video and articles,Service - dosomething.org: create a 5 minute song playlist to help conserve water!,Service - Meeting the Moment: The Next Generation of Service,Civ-Mil  - Self-guided tour of the US Air Force National Museum",1,2,2
5,Yes,yes,yes,4,"NGSC Culture - Petting Zoom,Civ-Mil  - U.S. Army Airborne And Special Operations Museum: Exhibit,Service - Letters to Strangers,Service - Covid-19 Masks",1,2,1
T3,Yes,Yes,yes,4,"Civ-Mil  - Medal of Honor Series: Episode 5 Vito Bertoldo,NGSC Culture - Town Hall meeting ,Service - Food Drive,Service - Organizing Food distributions ",1,2,1
4,Yes,Yes,yes,4,"NGSC Culture - Leadership Escape Room,Service - Silver Lining Riding 2020 Annual Rider Showcase,Service - BLAST'D Internal Service Events,Civ-Mil  - Meeting the Moment: Leadership During a Crisis",1,2,0
3,No,Yes,yes,4,"Service - ASU Open Door,Service - Residential Plaza Volunteering,Civ-Mil  - Meeting the Moment: The Next Generation of Service,NGSC Culture - NGSC Connect Culture",1,2,1
3,Yes,Yes,no,1,Service - International Student English Assistance,1,2,1
3,Yes,YES,yes,4,"Service - Health Fair ,""Civ-Mil  - """"trump and his generals: the cost of chaos"""" "",Service - free rice ,NGSC Culture - Healthcare Proffesional Pannel Video ",1,2,2
2,YES,Yes,yes,4,"Civ-Mil  - Profiles in Service-It Takes a Nation,Service - Feed My Starving Children ,Service - Feed My Starving Children,NGSC Culture - NGSC CULTURE CONNECT",1,2,1
5,Yes,Yes,yes,8,"Civ-Mil  - Watch a Great Decisions episode of your choice from the Foreign Policy Association,NGSC Culture - Healthcare Professionals Panel video ,Service - hashtag Lunchbag,Service - Hashtag Lunchbag,Service - Hashtag Lunchbag,Service - Hashtag Lunchbag,NGSC Culture - Healthcare Professionals Panel video and/or articles,Civ-Mil  - Watch a Great Decisions episode of your choice from the Foreign Policy Association",1,2,1
4,No,Yes,Yes,4,"NGSC Culture - Help with On Leadership ,Civ-Mil  - Profiles in Service: It Takes a Nation,Service - Isara Foundation - Fundraising for Thailand,Service - Por los Chicos - Feeding Hungry Children",1,2,1
5,Yes,yes,YES,4,"NGSC Culture - Civil-Mil Committee ,Civ-Mil  - Medal of Honor Netflix Party ,Service - Rick Benson,Service - Smithsonian Transcription ",1,2,1
2,no,No,no,0,,1,2,1
4,Yes,Yes,yes,4,"Service - GROWHOUSE,Service - GrowHouse,NGSC Culture - Meeting the Moment: Leadership During a Crisis,Civ-Mil  - Meeting the Moment: Leadership During a Crisis- Dr. Ruth Franks Snedecor & Ben Katchman",1,2,1
2,YES,Yes,yes,4,"NGSC Culture - On Leadership Seminar,Civ-Mil  - Letters to Soldiers,Service - Amnesty International ,Service - Operations Warm - Chemo Angels",1,2,1
2,YES,Yes,yes,4,"Service - The Welcome to America Project Volunteering,NGSC Culture - Internship Networking Tabling at On Leadership,Civ-Mil  - John J. Rhodes Lecture featuring General Mattis,Service - CareerVillage Mentoring",1,2,1
2,Excused,Excused,Yes,4,"Civ-Mil  - Public Service Academy Speaker Series Recording,NGSC Culture - Meeting the Moment: Leadership During a Crisis Session 2 Virtual,Service - Free Rice,Service - Letters to Strangers",1,3,1
3,Yes,YES,yes,4,"Service - Southwest Border Crimes ,NGSC Culture - Zoom M16 Health Care Professionals Panel/Video/Articles ,Civ-Mil  - Profiles in Service- It takes a Nation,Service - Project Implicit IAT Test from Operation Warm website",1,2,1
2,no,Yes,no,4,"Civ-Mil  - Session 1: Leadership in Crisis Planning and Crisis Decision Making,Service - Tapawingo Beautification Initiative,NGSC Culture - Speaker Series: Leadership as a Public Official former State Representative and Emergency Room Physician Dr. Eric Meyer,Service - WASH Education Development",2,2,1
5,Yes,Yes,yes,4,"Civ-Mil  - Student Discussion with General Mattis,Service - Help From Home,NGSC Culture - Health Professions Panel,Service - Meeting the Moment: The Next Generation of Service",2,4,2
5,Yes,Yes,no,4,"Service - Feed My Starving Children,Service - Brophy Culture-Fest,NGSC Culture - Netflix watch party,Civ-Mil  - Cohort Presentation",1,2,1
4,No,yes,yes,5,"Civ-Mil  - Watching a video and discuss ,NGSC Culture - Pet Event ,Service - I volunteered at my old High Schools Book Fair,Service - Volunteering at Arizona Animal Welfare League ,Service - Assisting in the Nursery/kids area at my church",1,2,1
3,Yes,Yes,yes,6,"NGSC Culture - Mission team 2 @ in n out bring your change,NGSC Culture - Mission team 2 IN-N-OUT,Service - Feed My Starving Children,Civ-Mil  - Session 1: Leadership in Crisis Planning and Crisis Decision Making,Service - Letters To Strangers,Civ-Mil  - U.S. Air Force National Museum Virtual Tour",1,2,1
5,Yes,Yes,yes,4,"""Civ-Mil  - PBS - The War, Letter from Directors"",NGSC Culture - NGSC Petting Zoo,Service - Textbanking with Greenpeace,Service - Open Door (for SESE)",1,2,1
2,no,No,no,2,"Civ-Mil  - Session 2: “Leadership as a Public Official”,Service - Canvass ",0,1,0
5,Yes,yes,yes,4,"Service - Penny Wars,NGSC Culture - In-n-out penny drive,Service - Valentine Condom collective,Civ-Mil  - Student Discussion with General Mattis",1,2,1
4,Yes,yes,yes,4,"Service - Feed My Starving Children,Civ-Mil  - The Code of Support Foundation Documentary ,""NGSC Culture - NGSC Sustainability DIY Workshop: plastic rugs, baskets and bottle fly trap"",Service - Visiting the Elderly ",0,0,0
5,No,Yes,yes,5,"Service - PAWS,Civ-Mil  -  Profiles in Service - It Takes A Nation,Service - Paws,Service - Taking Groceries To Elderly,NGSC Culture - Meeting the Moment: Leadership During a Crisis",1,2,1
4,Yes,Yes,yes,4,"""Civ-Mil  - Netflix Viewing Party """"Medal of Honor"""" "",NGSC Culture - Active participation in Civ-Mil Committee ,Service -  Basketball Referee ,Service - St. Mary Catholic Church Volunteer",1,2,1
3,Yes,No,no,0,,1,2,1
3,Yes,Yes,yes,4,"Civ-Mil  - Lecture with General Mattis,NGSC Culture - Leadership in Crisis Planning and Crisis Decision Making,Service - FreeRice quizzing,Service - Bash the Bug",1,2,1
3,Yes,YES,yes,5,"Service - Hearts and hands- St. Vincent del Paul,""Service - Hearts and Hands, St. Vincent de Paul"",Civ-Mil  - U.S. Army Airborne And Special Operations Museum: Exhibit,NGSC Culture - Playing Sketchful.io,NGSC Culture - NGSC Connect Culture",1,2,2
5,No,Yes,yes,4,"Service - Waves of Wishes,Service - St. Vincent de Paul Volunteer,Civ-Mil  - Bailey Shaw,NGSC Culture - Eliza Johnson",1,2,1
3,Yes,Yes,YES,4,"NGSC Culture - Womans March in Pheonix ,Service - Alyssa Manzo,Service - SWIFT Saturday ,Civ-Mil  - Profiles in Service - It takes a nation ",1,2,1
3,Yes,Yes,yes,4,"Service - Valentine's BuildABuddy Event,Civ-Mil  - U.S. Army Airborne And Special Operations Museum: Exhibit,Service - FreeRice.com,NGSC Culture - Health Professions Panel",1,2,1
2,YES,No,Yes,4,"NGSC Culture - Phoenix Women's March,Civ-Mil  - Profiles in Service documentary,Service - DoSomething.org's New State of Mind: Stress Tips,Service - DoSomething.org's New State of Mind: Just Checking In",1,2,1
T2,yes,Yes,yes,4,"NGSC Culture - Chair of Transfer Committee,Service - Tempe First Methodist Church Homeless Christmas Breakfast,Service - Tempe First UMC Worship In the Park Blessing Bag Project,Civ-Mil  - Neighborhood COVID Essential Items for Veterans Initiative ",1,2,1
4,Yes,Yes,yes,4,"Civ-Mil  - Meeting the Moment: The Next Generation of Service,NGSC Culture - Netflix Watch Party: Living Undocumented,Service - New State of Mind: Just Checking In,Service - Bonton Farms",1,2,1
4,Yes,Yes,yes,4,"NGSC Culture - Transfer Committee Meetings,Service - Urban Outreach Homeless Pancake Breakfast,Service - First United Methodist Church Blessing Bags,Civ-Mil  - Veteran Coronavirus Care Packages",1,1,1
2,yes,Yes,yes,4,"Service - Military and Service Heroes Pantry Christmas Meals,Service - Arizona Goldens LLC service dog training,NGSC Culture - Chance Jones,Civ-Mil  - Chance Jones",1,2,1
5,Yes,Yes,yes,4,"Service - Meeting the Moment: The Next Generation of Service.,Service - Volunteering at Church,""NGSC Culture - Netflix Party: """"Living Undocumented"""""",Civ-Mil  - Profiles in Service - It Takes A Nation",1,2,0
3,No,Yes,Yes,4,"Civ-Mil  - Discussion on the Documentary of The Code of Support Foundation,NGSC Culture - Leadership as First Responder and Medical Professional During a Crisis,Service - Anytown Camp Programming,Service - Anytown Camp Programming",1,3,1
2,no,yes,yes,4,"Service - volunteer babysitting,Service - volunteer babysitting,Civ-Mil  - Self-guided virtual reality tour of U.S. Army Airborne and Special Operations Museum: Exhibit,NGSC Culture - Leadership as a First Responder and a Medical Professional",1,2,1
3,Yes,Yes,yes,4,"Service - AZ Microcredit,Civ-Mil  - NMUSAF Virtual Tour,NGSC Culture - Healthcare Panel MT 16,Service - AZ Microcredit",1,1,0
5,Yes,Yes,yes,4,"Civ-Mil  - Civil-Mil Viewing and Dicussion,NGSC Culture - Roadmap to Intersectionality,Service - MT 13 Virtual Service: Sounds of New York,Service - NGSC Connect",1,2,1
5,Yes,Yes,yes,6,"NGSC Culture - Service Committee Participation (including meetings),Service - Connect2Stem UofA Medical School,""Civ-Mil  - Meeting the Moment: Leadership During A Crisis Panel Series, Leadership in Crisis Planning and Crisis Decision Making"",Service - Project Cure Volunteering with Mission Team,NGSC Culture - Leadership as a Public Official,Service - Project Cure Volunteering with BMES",1,2,1
3,Yes,Yes,yes,4,"""Civ-Mil  - The War, Letters from Director"",NGSC Culture - Healthcare Professionals Panel Video,Service - Free Rice,Service - Zooniverse.org ",1,2,2
4,Yes,Yes,yes,4,"Service - ASU's open door,Service - Boeing Career Fair,NGSC Culture - NGSC Town Hall,Civ-Mil  - Profiles In Service",2,2,3
2,yes,yes,yes,0,,1,2,1
2,no,No,no,0,,1,2,1
T3,Yes,Yes,yes,4,"Service - Neighborhood Clinic Nursing Aid Volunteer,NGSC Culture - NGSC Petting Zoo,Civ-Mil  - React Defense Systems Training,Service - Clinic volunteering",1,3,1
3,No,Yes,yes,4,"Service - Grant proposal editing for Vaccine on Wheels,Service - Grant Opportunities Search,Civ-Mil  - Meeting the Moment: The Next Generation of Service,NGSC Culture - Profiles in Service - It Takes A Nation",1,2,1
2,no,Yes,no,0,,0,0,0
3,Yes,Yes,yes,3,"Service - Camp Kesem Volunteering for Ragnar Run @ Chaparral High School,NGSC Culture - Innovation Committee Meeting ,Service - Innovation Committee Meeting ",1,2,1
5,Yes,Yes,no,4,"Service - Project CURE,Service - Turf Wars Concession Stand,NGSC Culture - Essay Grading,Civ-Mil  - CNCS Webinar",1,2,1
3,Yes,yes,yes,4,"Service - Letters To Strangers,Service - Smithsonian Institute-Transcriptions,NGSC Culture - Meeting the Moment: Leadership During a Crisis,Civ-Mil  - Meeting the Moment: The Next Generation Service",1,2,1
5,Yes,YES,yes,5,"Civ-Mil  - Leadership in Crisis Planning and Crisis Decision Making,Service - Letters to Strangers,Service - Answering Calls for Be My Eyes,NGSC Culture - Meeting the moment: leadership in crisis ,NGSC Culture - Meeting the Moment: As a first responder and a medical proffesional",1,2,1
2,yes,No,yes,4,"NGSC Culture - Healthcare Professions Panel hosted by MT 16,Service - Sounds of NYC via Zooniverse,Service - Bash the Bug via Zooniverse,Civ-Mil  - Meeting the Moment: The Next Generation of Service",1,2,1
4,No,No,yes,4,"NGSC Culture - Healthcare Professions Panel hosted by MT 16!,Civ-Mil  - Profiles in Service - It Takes A Nation,Service - Free Rice,Service - MT 13 Virtual Service",0,1,0
4,Yes,yes,yes,4,"Civ-Mil  - Should US build the border wall debate,Service - Feed my starving children,Service - COVID-19 Relief,NGSC Culture - Health Professions Panel",1,2,1
2,no,Yes,no,0,,1,2,1
2,YES,Yes,yes,4,"NGSC Culture - NGSC Sustainability DIY Workshop,Civ-Mil  - Meeting the Moment Leadership During a Crisis Session 1,Service - Open Door,Service - Barrett Service Saturday: Letters to Strangers",1,2,1
5,Yes,Yes,yes,4,"Service - COVID-19 Mask Sewing ,NGSC Culture - Social Committee,Service - Round Valley Animal Shelter ,Civ-Mil  - Netflix Party with Civil-Mil Committee ",1,2,1
4,Yes,Yes,yes,4,"Service - Grow House Phoenix ,Civ-Mil  - Netflix Viewing Party ,NGSC Culture - Living Undocumented: Netflix Watch Party,Service - Period packing party with Rotex ",1,2,1
4,Yes,Yes,yes,4,"NGSC Culture - Netflix Party,Service - AZ Birthday Cleanup,Service - Fruitbowl Cleanup,Civ-Mil  - Profiles In Service: It Takes A Nation",0,0,0
5,Yes,yes,yes,4,"Service - Bash the BUg Zoom Virtual Service,Civ-Mil  - Civil MIl Netflix Party,NGSC Culture - Netflix Party,Service - Kappa Delta Chi Service Requirement ",0,2,1
4,Yes,Yes,yes,4,"Service - Phoenix Public Market,Civ-Mil  - Profiles in Serive: It Takes A Nation,Service - Free Rice,NGSC Culture - Applicatoin Reviews ",1,2,1
5,Yes,Yes,yes,4,"Service - Fostering a Dog,NGSC Culture - Healthcare Professionals Pannel,Service - Free rice ,Civ-Mil  - Meeting the Moment: The Next Generation of Service",1,2,1
2,Yes,No,Yes,1,Service - Meeting the Moment: NGSC,1,2,1
3,Yes,Yes,no,4,"Civ-Mil  - BridgeASU: Student-Led Debate on Should the U.S. Build the Southern Border Wall,Service - McDowell Sonoran Conservancy Expedition Days,NGSC Culture - PSA Civil Servants Committee,Service - ASU Founder's Day",1,3,1
2,no,Yes,no,0,,1,2,1
5,No,yes,yes,4,"Service - transcribing for the Smithsonian museum,Service - remote proofreading ,NGSC Culture - Meeting the Moment: The Next Generation of Service,Civ-Mil  - Self-guided virtual reality tour of U.S. Army Airborne and Special Operations Museum: Exhibit",0,0,0
4,Yes,yes,yes,4,"Civ-Mil  - Twarting Threats and Nurturing Allies in Today's Global Affairs,Service - Habitat for Humanity,NGSC Culture - Mission Team 16: Health Professions Zoom Panel,Service - Habitat for Humanity",1,2,1
4,Yes,Yes,yes,8,"Service - Changemaker Care Packages for the Homeless ,Service - BLAST’D kindness rocks,Civ-Mil  - Rhodes Lecture with General Mattis ,NGSC Culture - Innovation Committee,Service - BLAST’D UMOM aprons ,Service - Zoom volunteering with alka rocketeers ,NGSC Culture - What counts as healthcare?,Service - Online volunteering ",1,2,1
5,Yes,yes,yes,4,"Civ-Mil  - meeting the moment ,NGSC Culture - Leadership in Crisis Planning and Crisis Decision Making,NGSC Culture - Leadership as a Public Official,Service - Alpha Omega Phoneix",1,2,1
5,Yes,Yes,yes,5,"Service - AED service event at United Food Bank,Civ-Mil  - Code of Support Foundation Video and Discussion,Service - Feed my starving children,Service - Zoom Meeting Leadership as a Public Official,NGSC Culture - Zoom Meeting Dr. Eric Meyer",1,2,2
T1,Excused,Yes,no,0,,1,2,1
5,No,Yes,yes,8,"Service - Peterson House Danish Christmas,Service - Tempe History Museum (Administrative Support),Service - Assistant Dance Instructor,Service - Feis in the Desert,NGSC Culture - On Leadership Volunteer Set-Up,Civ-Mil  - 2020 John J. Rhodes Lecture in Public Policy & American Institutions,Service - St. Vincent de Paul Volunteer,Service - Hayden’s Ferry Day Festival",1,3,1
5,Yes,Yes,yes,4,"NGSC Culture - Healthcare Professions Panel,Civ-Mil  - Foreign Policy Association Youtube Video,Service - United Nations Association at ASU writing letters to healthcare professionals and patients in Madrid,Service - Free Rice UN Game",1,2,1
T2,no,Yes,yes,0,,1,2,1
3,Yes,yes,yes,4,"Service - Service at Eisenhower Elementary,Service - Service on Apache,Civ-Mil  - Virtual Tour of U.S. Army Airbourne and Special Operations Museum,NGSC Culture - NGSC Connect",1,3,2
3,Excused,Excused,yes,0,,1,2,1
5,Yes,Yes,yes,4,"Service - Salvation Army Kettle Campaign,Service - Project Cure,NGSC Culture - A Day in the Life of NGSC,Civ-Mil  - Overview of September 11th Nat'l Day of Service and Remembrance and Planning Your Service Project",1,2,1
2,yes,Yes,yes,4,"Service - Tutoring ,Service - Tutoring Service,NGSC Culture - Meeting The Moment: The Next Generation of Service,NGSC Culture - Meet The Moment: Leadership During a Crisis Panel Series",1,2,1
4,No,Yes,yes,0,,1,2,1
2,excused,Excused,yes,4,"Service - Patina Wellness Center Nutrition Outreach Event ,NGSC Culture - Trauma Documentary ,Service - Grocery Donation Delivery ,""Civ-Mil  - Meeting in the Moment: Leadership During a Crisis Panel, Emergency Professionals""",1,2,1
5,Yes,Yes,yes,4,"Civ-Mil  - Meeting the moment: Leadership during a crisis,NGSC Culture - Road map to intersectionality,Service - Sun Devil Alka Rocketeers ,Service - Devil Alka Rocketeers",1,2,1
2,no,yes,yes,4,"Service - Hot Bamboo Help,NGSC Culture - Group Facetime with fellow NGSC members,Service - FreeRice,Civ-Mil  - U.S. Army Airborne And Special Operations Museum: Exhibit",1,2,1
4,Yes,yes,yes,3,"NGSC Culture - Healthcare professionals panel recording,Service - MLK Day of Service,Civ-Mil  - Thwarting threats and nurturing allies in today’s global affairs",1,4,2
3,Excused,Excused,yes,5,"Service - Barrett Zion National Park Trip,Service - Innovation Committee Rocketeer Activity Log,Civ-Mil  - meeting the moment: leadership during a crisis,Service - MT 13 Virtual Service,NGSC Culture - Animal Rights Mission Team Tiger King Discussion",1,2,1
T3,Yes,Yes,yes,4,"Service - Coaching,Service - Inventory Specialist - Dress for Success,NGSC Culture - Ambassador committee,Civ-Mil  - Profiles in Service - It takes a Nation",1,2,2
2,no,Yes,yes,0,,1,2,1
3,Yes,Yes,yes,4,"Service - COVID-19 Development Packets ,Service - School District COVID-19 Shut Down Preparation,NGSC Culture - COVID-19: Health Professions Panel,Civ-Mil  - Center on the Future of War: Featured Speaker Series",1,2,1
3,No,Yes,yes,4,"Service - Westwood-Dobson Softball Tourney,Service - Westwood-Dobson Softball Tourney,Civ-Mil  - Leadership in Crisis Planning and Crisis Decision Making ,NGSC Culture - Essay grading and interviews for incoming cohort",1,2,1
3,Yes,Yes,yes,4,"NGSC Culture - Culture Event at IN-N-OUT,Civ-Mil  - Profits in Service - It takes a Nation,Service - Feed my Starving Children,Service - Bash the Bug",1,2,1
4,Yes,yes,yes,4,"Service - School Volunteer,Civ-Mil  - Code of Support Foundation Documentary,Service - Sunday School Lunch Server,NGSC Culture - Meeting the Moment: the Next Generation of Service",1,2,1
T3,Yes,No,no,5,"NGSC Culture - On Leadership Volunteer work ,NGSC Culture - United States,Service - Vello Student volunteer,Service - DoSomething.org,Service - Netflix Party",1,2,1
2,Yes,No,no,4,"Service - Arizona Humane Society ,Civ-Mil  -  Profiles in Service - It Takes A Nation,NGSC Culture - Healthcare Professionals Panel video and/or articles,Service - Humane Society of Arizona ",2,4,2
5,Yes,Yes,yes,4,"Service - Academic Decathlon Interview Volunteer,Service - FSC Fresh Booth,Civ-Mil  - “Trump and His Generals:the Cost of Chaos”,NGSC Culture - Health Professions Panel",1,2,1
4,Yes,yes,yes,4,"Service - Academic Decathlon Judging,Service - Making Food Packages for Homeless High School Students,Civ-Mil  - Future of War Speaker Series ,NGSC Culture - Health Professions Panel",1,2,1
T2,Yes,Yes,yes,4,"Civ-Mil  - Prolonged Field Care in Austere Environments Lecture by Dr. Pierre Noel,""Service - """"Giving Back to the Community Month"""" "",NGSC Culture - Leadership in Crisis Planning and Crisis Decision Making Webinar,Service - Give Career Advice to High School Students Online",1,2,1
5,Yes,No,yes,4,"Service - Canvassing for Casey Clowes for Tempe City Council,Service - Welcome to America Project,""NGSC Culture - Essay review, Phone Interviews for NGSC applicants - Ambassador Committee"",Civ-Mil  - Meeting the Moment - Leadership During a Crisis: Leadership as a Public Official During a Crisis",1,2,1
2,yes,No,yes,4,"Service - UMOM Overflow shelter feeding ,Service - Houses for the people in Chihuahua,Civ-Mil  - United States Marine Corps Fitness Day,NGSC Culture - Zoom team meeting ",1,2,1
4,No,No,yes,5,"NGSC Culture - Voter Registration Training,Service - WGI Phoenix Regional Percussion Show,Civ-Mil  - Self-guided virtual reality tour of U.S. Army Airborne and Special Operations Museum: Exhibit,Service - Feed My Starving Children,Service - Devils' Advocate Tour",1,2,1
T2,Yes,yes,yes,4,"Service - Mesa Community College Model United Nations High School Conference,Service - Giving career advice to high school students,Civ-Mil  - Rising Tide: Climate Change and the World's Oceans,NGSC Culture - Ambassador's Grading Essays for incoming cohort",1,2,1
4,Yes,Yes,yes,4,"Service - Open Door with Sun Devil Alka Rocketeers ,Civ-Mil  - Inclusive Veterans Discussion Panel ,NGSC Culture - In-N-Out Human Trafficking Celebration ,Service - In-N-Out Human Trafficking Tabling Event ",1,3,1
2,Yes,Yes,no,0,,1,2,1
5,No,yes,yes,0,,1,2,1
4,Yes,Yes,yes,3,"Civ-Mil  - Meeting the moment session 1: Leadership in Crisis planning & crisis decision making,Service - NGSC Connect service,NGSC Culture - Leadership During a Crisis",1,2,1
4,No,Yes,yes,4,"Service - Online Transcription for the Smithsonian,NGSC Culture - Roadmap to Intersectionality Workshop,Civ-Mil  - Thank You For Your Service with Margaret Raffin,Service - Volunteered with the Tolleson Elementary School District at the filing room of the district office ",1,2,1
5,Yes,Yes,yes,4,"Service - Arizona State HDSHC Invitational,Service - Arizona State HDSHC Invitational,NGSC Culture - Ambassadors Committee,Civ-Mil  - Profiles in Service - It Takes A Nation",1,2,1
3,No,Yes,yes,0,,1,2,1
5,Yes,Yes,yes,6,"Service - Food Bank Pack and Serve,NGSC Culture - Civil-Mil Committee,NGSC Culture - Watch a great decisions episode from foreign policy association. ,Service - Pack and Serve,Civ-Mil  - Medal of Honor Series,Civ-Mil  - Netflix Party for Civil Mil- Medal of Honor Series",1,2,1
4,Yes,yes,yes,4,"Service - Pantry packing at St. Mary's food bank ,NGSC Culture - Part of civil mil club ,Civ-Mil  - Watching Rising Tide with fellow NGSC member ,Service - Pantry Sort at St. Mary's food Bank ",0,0,0
5,Yes,Yes,yes,4,"NGSC Culture - NGSC Panda Express Dinner Downtown,Civ-Mil  - John J. Rhodes Lecture with Former General James Mattis ,Service - Walk to Cure Arthritis,Service - Smithsonian Digital Volunteers: Transcription Center",1,2,1
T3,Yes,yes,no,4,"Service - US border issues ,Civ-Mil  - Vetsforward ,""Service - meeting with Dr, Yussuf Salaam "",""Civ-Mil  - Meeting the moment, next generation of service """,0,0,0
5,No,yes,yes,5,"Civ-Mil  - Healthcare Panel,Civ-Mil  - Peter Bergen Seminar,Civ-Mil  - Meeting the Moment,Service - Bash the Bug,Service - Zooniverse",0,0,0
5,Yes,yes,yes,0,,1,2,1
3,Yes,Yes,yes,4,"Service - Devils Spark Change MLK Service Trip,Service - Food for the Hungry ,NGSC Culture - Passion PowerPoint Zoom,Civ-Mil  - Civil Mill video and discussion ",1,2,1
2,YES,Yes,yes,4,"Service - https://www.crisistextline.org/become-a-volunteer/,Civ-Mil  - Profiles in service - It takes a nation,NGSC Culture - What counts as healthcare MT Mixer,Service - Crisis text line",1,2,1
5,Yes,Yes,yes,4,"Service - St Vincent De Paul Volunteer Opportunity with Acts of Kindness @ West,Service - Letters to Strangers,NGSC Culture - Section 1: Roadmap to Intersectionality,Civ-Mil  - Profiles in Service - It Takes A Nation",1,2,1
5,Yes,yes,yes,4,"Service - Volunteering at high school library ,Civ-Mil  - Profiles in Service - It Takes A Nation,Service - Helping Alka Rocketeers with webiste ,NGSC Culture -  Sun Devil Alka Rocketeers",1,2,1
